State,City,PD,Black People Killed by Police (1/1/2013-12/31/2019),Hispanic People Killed by Police (1/1/2013-12/31/2019),Native American People Killed by Police (1/1/2013-12/31/2019),Asian People Killed by Police (1/1/2013-12/31/2019),Pacific Islanders Killed by Police (1/1/2013-12/31/2019),White People Killed by Police (1/1/2013-12/31/2019),Unknown Race People Killed by Police (1/1/2013-12/31/2019),Total,Black,White,Amer. Indian,Asian,Hawaiian,Other,"Two or
more races",Hispanic,Black-White Dissimilarity Index (2010),"Murder and
nonnegligent manslaughter",Violent crimes 2013 (if reported by agency),Violent crimes 2014 (if reported by agency),Violent crimes 2015 (if reported by agency),Violent crimes 2016 (if reported by agency),Violent crimes 2017 (if reported by agency),Violent crimes 2018 (if reported by agency),2013 Total Arrests (UCR Data),2014 Total Arrests,2015 Total Arrests,2016 Total Arrests,2017 Total Arrests,2018 Total Arrests
California,San Jose,San Jose Police Department,1,10,,1,1,6,3,"945,942","27,508","271,382","2,255","300,022","3,492","1,820","25,827","313,636",36.76,18,3215,3242,3400,3887,4188,4444,17994,17729,16232,13034,13977,15392
California,Santa Ana,Santa Ana Police Department,1,10,,1,,1,3,"324,528","3,177","29,950",507,"33,618",826,375,"2,147","253,928",24.48,4,1121,1260,1626,1612,1640,1571,8715,8641,8101,7349,7397,6609
Arizona,Scottsdale,Scottsdale Police Department,1,1,,,,4,2,"217,385","3,484","182,011","1,462","7,128",189,276,"3,610","19,225",23.46,26,337,,434,369,396,422,10468,9673,8910,9066,9619,9296
Washington,Seattle,Seattle Police Department,4,2,1,2,1,10,3,"608,660","47,113","403,578","3,881","83,537","2,246","1,464","26,512","40,329",51.68,10,3758,4001,4093,4294,4564,5052,15100,13207,14230,14569,14543,15182
Washington,Spokane,Spokane Police Department,1,,2,,,11,1,"208,916","4,643","175,482","3,663","5,266","1,152",281,"7,962","10,467",21.73,159,1440,1156,1111,,1360,1742,10654,18510,23794,,4951,5865
Missouri,St. Louis,St. Louis Metropolitan Police Department,36,,,,,3,1,"319,294","156,389","134,702",684,"9,233",62,478,"6,616","11,130",65.28,11,5077,5348,5762,6017,6461,5525,23094,19261,20493,20163,18729,16993
Minnesota,St. Paul,St. Paul Police Department,5,1,2,2,,3,,"285,068","43,620","159,437","2,316","42,494",120,494,"9,276","27,311",43.44,19,2200,1974,2115,1970,1996,1941,11758,9820,9659,9024,9557,8632
Florida,St. Petersburg,St. Petersburg Police Department,2,,,,,8,,"244,769","57,489","157,409",567,"7,672",106,539,"4,773","16,214",65.70,49,2379,2169,1898,1727,1842,1660,13997,13654,13491,10907,10149,9753
California,Stockton,Stockton Police Department,4,6,,2,1,3,2,"291,707","33,507","66,836","1,237","60,323","1,622",470,"10,122","117,590",37.25,28,3622,3988,4122,4381,4379,4383,8008,7681,6261,6154,7435,7327
Florida,Tampa,Tampa Police Department,4,,,2,,3,,"335,709","83,032","155,552",755,"11,362",207,794,"6,535","77,472",58.69,24,2097,2080,2298,1906,1785,1598,41318,38102,30983,25676,22660,20310
Ohio,Toledo,Toledo Police Department,3,,,,,4,,"287,208","76,820","176,468",755,"3,204",64,522,"8,144","21,231",53.45,47,2902,3068,3156,3319,,2333,,,,,7426,8467
Arizona,Tucson,Tucson Police Department,2,10,,,,10,6,"520,116","23,362","245,323","8,776","14,211",951,792,"10,393","216,308",25.65,46,3368,,3472,4245,4268,3958,31892,32313,32294,33442,30569,28858
Oklahoma,Tulsa,Tulsa Police Department,7,4,,1,,14,1,"391,906","61,230","227,021","19,473","8,926",278,473,"19,239","55,266",49.79,17,3827,3217,3628,4444,4214,4294,16360,14739,15769,14311,12666,13303
Virginia,Virginia Beach,Virginia Beach Police Department,3,,,,,2,1,"437,994","83,210","282,470","1,349","26,312",602,863,"14,201","28,987",36.36,105,730,660,626,700,625,528,24359,23247,20259,19190,18668,17071
Kansas,Wichita,Wichita Police Department,1,2,,,,10,,"382,368","42,676","246,744","3,424","18,272",311,472,"12,121","58,348",49.27,15,3065,,3839,4136,3998,4622,10566,9323,9307,9120,8322,3931
North Carolina,Winston-Salem,Winston-Salem Police Department,3,,,,,,,"229,617","78,065","108,222",567,"4,536",138,535,"3,801","33,753",50.44,13,1426,1696,,,,,19742,18875,16146,15432,,12786
